run_accession	sample_title
ERR1072624	10317.000001002
ERR1072625	10317.000001004
ERR1072626	10317.000001008
ERR1072627	10317.000001018
ERR1072628	10317.000001028
ERR1072629	10317.000001031
ERR1072630	10317.000001032
ERR1072631	10317.000001038
ERR1072632	10317.000001046
ERR1072633	10317.000001047
ERR1072634	10317.000001048
ERR1072635	10317.000001049
ERR1072636	10317.000001056
ERR1072637	10317.000001058
ERR1072638	10317.000001059
ERR1072639	10317.000001060
ERR1072640	10317.000001065
ERR1072641	10317.000001067
ERR1072642	10317.000001069
ERR1072643	10317.000001077
ERR1072644	10317.000001078
ERR1072645	10317.000001086
ERR1072646	10317.000001089
ERR1072647	10317.000001097
ERR1072648	10317.000001098
ERR1072649	10317.000001099
ERR1072650	10317.000001100
ERR1072651	10317.000001109
ERR1072652	10317.000001110
ERR1072653	10317.000001115
ERR1072654	10317.000001116
ERR1072655	10317.000001118
ERR1072656	10317.000001121
ERR1072657	10317.000001126
ERR1072658	10317.000001128
ERR1072659	10317.000001129
ERR1072660	10317.000001130
ERR1072661	10317.000001135
ERR1072662	10317.000001138
ERR1072663	10317.000001140
ERR1072664	10317.000001141
ERR1072665	10317.000001142
ERR1072666	10317.000001150
ERR1072667	10317.000001151
ERR1072668	10317.000001152
ERR1072669	10317.000001154
ERR1072670	10317.000001155
ERR1072671	10317.000001170
ERR1072672	10317.000001171
ERR1072673	10317.000001173
ERR1072674	10317.000001174
ERR1072675	10317.000001180
ERR1072676	10317.000001186
ERR1072677	10317.000001189
ERR1072678	10317.000001192
ERR1072679	10317.000001194
ERR1072680	10317.000001196
ERR1072681	10317.000001214
ERR1072682	10317.000001216
ERR1072683	10317.000001218
ERR1072684	10317.000001221
ERR1072685	10317.000001225
ERR1072686	10317.000001228
ERR1072687	10317.000001231
ERR1072688	10317.000001246
ERR1072689	10317.000001248
ERR1072690	10317.000001256
ERR1072691	10317.000001265
ERR1072692	10317.000001269
ERR1072693	10317.000001270
ERR1072694	10317.000001272
ERR1072695	10317.000001275
ERR1072696	10317.000001278
ERR1072697	10317.000001282
ERR1072698	10317.000001284
ERR1072699	10317.000001285
ERR1072700	10317.000001288
ERR1072701	10317.000001291
ERR1072702	10317.000001294
ERR1072703	10317.000001299
ERR1072704	10317.000001301
ERR1072705	10317.000001303
ERR1072706	10317.000001305
ERR1072707	10317.000001307
